Pokemon,EV Yield
Abomasnow,"1 Attack, 1 Sp. Atk"
Mega Abomasnow,"1 Attack, 1 Sp. Atk"
Abra,1 Sp. Atk
Absol,2 Attack
Mega Absol,2 Attack
Accelgor,2 Speed
Aegislash Shield Forme,"2 Defense, 1 Sp. Def"
Aegislash Blade Forme,"2 Attack, 1 Sp. Atk"
Aerodactyl,2 Speed
Mega Aerodactyl,2 Speed
Aggron,3 Defense
Mega Aggron,3 Defense
Aipom,1 Speed
Alakazam,3 Sp. Atk
Mega Alakazam,3 Sp. Atk
Alcremie,2 Sp. Def
Alomomola,2 HP
Altaria,2 Sp. Def
Mega Altaria,2 Sp. Def
Amaura,1 HP
Ambipom,2 Speed
Amoonguss,2 HP
Ampharos,3 Sp. Atk
Mega Ampharos,3 Sp. Atk
Annihilape,3 Attack
Anorith,1 Attack
Appletun,2 HP
Applin,1 Defense
Araquanid,2 Sp. Def
Arbok,2 Attack
Arboliva,3 Sp. Atk
Arcanine,2 Attack
Hisuian Arcanine,2 Attack
Arceus,3 HP
Archaludon,3 Defense
Archen,1 Attack
Archeops,2 Attack
Arctibax,2 Attack
Arctovish,2 Defense
Arctozolt,2 Attack
Ariados,2 Attack
Armaldo,2 Attack
Armarouge,2 Sp. Atk
Aromatisse,2 HP
Aron,1 Defense
Arrokuda,1 Speed
Articuno,3 Sp. Def
Galarian Articuno,3 Sp. Atk
Audino,2 HP
Mega Audino,2 HP
Aurorus,2 HP
Avalugg,2 Defense
Hisuian Avalugg,2 Defense
Axew,1 Attack
Azelf,"2 Attack, 1 Sp. Atk"
Azumarill,3 HP
Azurill,1 HP
Bagon,1 Attack
Baltoy,1 Sp. Def
Banette,2 Attack
Mega Banette,2 Attack
Barbaracle,2 Attack
Barboach,1 HP
Barraskewda,2 Speed
Basculegion Male,3 HP
Basculegion Female,3 HP
Basculin Red-Striped Form,2 Speed
Basculin Blue-Striped Form,2 Speed
Basculin White-Striped Form,2 Speed
Bastiodon,2 Defense
Baxcalibur,3 Attack
