"effect_id","status","location"
"1","covered_by_stat_changes",""
"2","missing",""
"3","missing",""
"4","missing",""
"5","missing",""
"6","missing",""
"7","missing",""
"8","missing",""
"9","missing",""
"10","missing",""
"11","covered_by_stat_changes",""
"12","covered_by_stat_changes",""
"14","missing",""
"17","covered_by_stat_changes",""
"18","missing",""
"19","covered_by_stat_changes",""
"20","covered_by_stat_changes",""
"21","covered_by_stat_changes",""
"24","covered_by_stat_changes",""
"25","covered_by_stat_changes",""
"26","missing",""
"27","missing",""
"28","missing",""
"29","missing",""
"30","missing",""
"31","missing",""
"32","missing",""
"33","missing",""
"34","missing",""
"35","missing",""
"36","missing",""
"37","missing",""
"38","missing",""
"39","missing",""
"40","missing",""
"41","missing",""
"42","missing",""
"43","missing",""
"44","missing",""
"45","missing",""
"46","missing",""
"47","missing",""
"48","missing",""
"49","missing",""
"50","missing",""
"51","covered_by_stat_changes",""
"52","covered_by_stat_changes",""
"53","covered_by_stat_changes",""
"54","covered_by_stat_changes",""
"55","covered_by_stat_changes",""
"58","missing",""
"59","covered_by_stat_changes",""
"60","covered_by_stat_changes",""
"61","covered_by_stat_changes",""
"62","covered_by_stat_changes",""
"63","covered_by_stat_changes",""
"66","missing",""
"67","missing",""
"68","missing",""
"69","covered_by_stat_changes",""
"70","covered_by_stat_changes",""
"71","covered_by_stat_changes",""
"72","covered_by_stat_changes",""
"73","covered_by_stat_changes",""
"74","covered_by_stat_changes",""
"75","missing",""
"76","missing",""
"77","missing",""
"78","missing",""
"79","missing",""
"80","missing",""
"81","missing",""
"82","missing",""
"83","missing",""
"84","missing",""
"85","missing",""
"86","missing",""
"87","missing",""
"88","missing",""
"89","missing",""
"90","missing",""
"91","missing",""
"92","missing",""
"93","missing",""
"94","missing",""
"95","missing",""
"96","missing",""
"98","missing",""
"99","missing",""
"100","missing",""
"101","missing",""
"102","missing",""
"103","missing",""
"104","missing",""
"105","missing",""
"106","missing",""
"107","missing",""
"108","missing",""
"109","covered_by_stat_changes",""
"110","missing",""
"112","missing",""
"113","missing",""
"114","missing",""
"115","missing",""
"116","missing",""
"117","missing",""
"118","missing",""
"119","covered_by_stat_changes",""
"120","missing",""
"121","missing",""
"122","missing",""
"123","missing",""
"124","missing",""
"125","missing",""
"126","missing",""
"127","missing",""
"128","missing",""
"129","missing",""
"130","covered_by_stat_changes",""
"131","missing",""
"133","missing",""
"136","missing",""
"137","missing",""
"138","missing",""
"139","covered_by_stat_changes",""
"140","covered_by_stat_changes",""
"141","covered_by_stat_changes",""
"143","missing",""
"144","missing",""
"145","missing",""
"146","missing",""
"147","missing",""
"148","missing",""
"149","missing",""
"150","missing",""
"151","missing",""
"152","missing",""
"153","missing",""
"154","missing",""
"155","missing",""
"156","missing",""
"157","covered_by_stat_changes",""
"159","missing",""
"160","missing",""
"161","covered_by_stat_changes",""
"162","missing",""
"163","missing",""
"165","missing",""
"166","missing",""
"167","covered_by_stat_changes",""
"168","missing",""
