effect_id,source
4,PokemonDataLoaders.fallback
30,PokemonDataLoaders.fallback
39,PokemonDataLoaders.fallback
43,PokemonDataLoaders.fallback
45,PokemonDataLoaders.fallback
49,PokemonDataLoaders.fallback
73,PokemonDataLoaders.fallback
78,PokemonDataLoaders.fallback
113,battle_system.explicit
199,PokemonDataLoaders.fallback
250,battle_system.explicit
254,PokemonDataLoaders.fallback
255,PokemonDataLoaders.fallback
263,PokemonDataLoaders.fallback
267,battle_system.explicit
270,PokemonDataLoaders.fallback
280,battle_system.explicit
325,battle_system.explicit
326,battle_system.explicit
327,battle_system.explicit
340,battle_system.explicit
341,battle_system.explicit
349,PokemonDataLoaders.fallback
351,battle_system.explicit
352,battle_system.explicit
353,battle_system.explicit
361,PokemonDataLoaders.fallback
367,battle_system.explicit
369,battle_system.explicit
392,battle_system.explicit
395,battle_system.explicit
415,battle_system.explicit
418,battle_system.explicit
419,battle_system.explicit
421,battle_system.explicit
422,battle_system.explicit
423,battle_system.explicit
424,PokemonDataLoaders.fallback
425,PokemonDataLoaders.fallback
1044,PokemonDataLoaders.fallback
